,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-0.03681619,-0.39397162,0.25284514,0.18812215,0.07385144,0.44322604,0.3333732,0.22862285,-0.14345466,0.09014703,-0.22653627,0.0050082593,-0.2680723,0.36007568,-0.020903205,0.037979074,-0.054772727,-0.29973674,0.16286708,-0.22260444,-0.018835481,0.23763484,-0.1127585,-0.22949527,0.15829372,0.30387983,-0.08657655,-0.12830025,0.16076264,0.34168872
1,0.012639525,0.07736651,-0.028757172,-0.04918552,-0.04484405,0.007623395,-0.010260928,0.011021834,-0.035626784,0.045882296,-0.03138769,-0.028971262,-0.042659488,0.098472856,-0.027975578,0.0020779774,-0.0631806,-0.009435759,0.08255275,-0.018818451,-0.04345484,0.016964594,0.11460048,0.047534272,-0.054386225,-0.011438605,0.025116125,0.011944028,0.039068747,1.4408208e-05
2,-0.06682064,0.13098054,-0.11429481,0.042467117,-0.07193658,-0.15468265,-0.16284451,-0.08446473,-0.02512058,-0.04629628,0.13924912,-0.077692814,0.029871453,-0.078660764,-0.0018118211,-0.1427265,-0.07218486,-0.03971599,0.07398363,0.21434481,0.06200002,-0.025903415,0.0937482,0.08197801,-0.015424948,-0.040637,-0.046846036,-0.002908043,-0.010954964,-0.19233176
3,-0.027758073,0.028467506,-0.02562282,0.10389124,-0.055742398,-0.037117355,-0.011505767,-0.017488886,0.2149739,-0.17494152,0.11887801,0.037134454,-0.021011638,-0.004501134,0.03265491,-0.050936177,0.14315869,0.003970942,-0.14705743,-0.007875898,-0.007720441,-0.08512039,-0.031244716,-0.110548615,5.6891644e-05,-0.0729625,0.058152195,0.1137338,-0.0569441,-0.03367498
4,0.072786845,0.007532393,-0.013147095,-0.07589272,-0.0117237745,-0.00050384965,-0.024377462,-0.04579122,0.115789585,-0.11337903,0.092610314,-0.039954755,-0.08841294,-0.09530639,-0.014844834,-0.043234885,0.19142483,0.020742128,-0.13274011,-0.00944901,-0.06654221,-0.051969916,0.098751575,-0.1468784,-0.087829426,0.061604924,-0.044413123,0.04592398,-0.031496353,-0.024190832
5,0.053649962,-0.17861713,0.12226369,-0.017659249,0.10765873,0.067822956,0.22260875,-0.15033889,0.013559073,0.16386777,-0.20288576,0.02816474,-0.26164636,0.1041378,-0.058979336,0.015693378,-0.034917228,-0.19932921,0.03383641,-0.20202468,-0.021776987,0.02220954,-0.13172129,-0.19785377,0.07758767,0.14335138,-0.13384087,-0.035443336,0.105126515,0.019630488
6,0.031301726,0.07203804,-0.06290647,-0.0048090694,0.027462248,-0.11058423,-0.08920735,-0.037041955,0.16481248,-0.14089958,0.02229881,-0.023850271,-0.05311885,-0.11085986,-0.010087486,0.06780971,0.046166487,0.06792528,-0.09801547,0.15260334,-0.081193015,-0.20078664,-0.03837606,-0.007080081,0.034348194,0.02831247,0.2055165,0.12303552,-0.031493973,-0.13875736
7,0.0070080617,-0.01076508,0.029958917,-0.07844874,0.06309828,0.021458706,0.07801302,0.10769069,0.101497434,-0.06334498,-0.03843458,0.11024718,-0.04091469,-0.02564345,-0.053427614,0.029683163,0.07538944,-0.020102115,-0.089198165,-0.023029316,0.06064208,-0.06715781,0.08161546,6.2296244e-06,-0.08662556,0.036823887,0.01886693,0.1074728,-0.10533481,0.040891644
8,0.036287628,0.006507258,0.022641402,-0.11855019,0.05533934,-0.07159904,-0.035705425,0.051050834,0.104473986,0.047927454,-0.050189476,0.046110775,0.00066309795,0.0426982,-0.04146757,0.063696876,-0.017145779,-0.069182746,-0.05758738,-0.00168338,-0.02336445,-0.028481675,0.08240168,-0.029108038,-0.09298225,-0.0654878,0.056835037,-0.009752722,-0.06912897,-0.027484406
9,-0.059754793,0.054214433,-0.1285072,0.11118827,-0.06188312,-0.109523654,0.020262593,-0.11237331,-0.24851638,-0.023597045,-0.010402114,0.009565719,0.020406285,0.095831424,0.091846704,0.013370919,-0.06245477,0.0615735,-0.044778384,0.04635179,0.14670232,0.06710689,-0.07055553,-0.056958135,0.055448867,-0.12695019,-0.034368087,-0.09437338,-0.015439408,-0.15257639
10,0.15376316,-0.06881638,0.08583109,-0.060343552,0.052913778,0.09590543,0.04962978,-0.038106162,0.032658663,0.05765737,-0.11566885,0.13523713,-0.13034171,0.08262663,0.021567661,0.021073958,-0.06619561,-0.17581587,-0.012946039,-0.15004328,0.0011114927,0.014908939,-0.1340153,-0.12488933,0.057955686,0.09383471,-0.12974656,0.026176274,-0.054740712,0.055979975
11,-0.09783455,-0.098645255,0.0030922901,-0.0033962806,-0.036063947,0.0004246586,0.124026865,-0.05586079,0.07663274,0.016038265,-0.037721224,-0.0008638979,-0.09485883,0.023796704,0.042875316,-0.026419874,0.012724302,0.005109115,-0.06999966,0.01975544,-0.02012416,0.032838833,-0.017097162,0.029534854,0.078353584,0.01270137,-0.0036063811,0.06353519,-0.13573381,-0.042960826
